ID,location,gender,age_category,seniority_category,satisfaction_score,#contact_acct,rating_acct,#contact_HR,rating_HR,#contact_OM,rating_OM,rating_security,rating_D&R
154,Amsterdam,Male,4.0,4.0,8.0,0 times,,3 to 4 times,10.0,0 times,9.0,10.0,
155,Amsterdam,Male,1.0,2.0,4.0,3 to 4 times,5.0,3 to 4 times,4.0,3 to 4 times,6.0,9.0,
156,Boston,Male,3.0,3.0,5.0,5 times or more,4.0,3 to 4 times,8.0,5 times or more,8.0,7.0,8.0
157,Boston,Female,1.0,2.0,5.0,3 to 4 times,4.0,5 times or more,8.0,3 to 4 times,10.0,10.0,
158,Amsterdam,Female,1.0,1.0,4.0,5 times or more,3.0,3 to 4 times,4.0,3 to 4 times,9.0,10.0,
159,Amsterdam,Male,2.0,2.0,5.0,5 times or more,3.0,5 times or more,7.0,3 to 4 times,9.0,9.0,
160,Boston,Female,2.0,3.0,7.0,5 times or more,9.0,5 times or more,7.0,5 times or more,10.0,7.0,
161,Amsterdam,Female,3.0,4.0,9.0,3 to 4 times,10.0,1 to 2 times,10.0,3 to 4 times,10.0,10.0,
162,Boston,Male,2.0,3.0,7.0,5 times or more,6.0,5 times or more,6.0,5 times or more,9.0,8.0,9.0
163,Boston,Female,1.0,3.0,10.0,5 times or more,10.0,5 times or more,10.0,5 times or more,10.0,10.0,
164,Amsterdam,Male,1.0,2.0,4.0,3 to 4 times,10.0,3 to 4 times,5.0,5 times or more,8.0,10.0,
165,Boston,Female,1.0,1.0,10.0,1 to 2 times,10.0,1 to 2 times,9.0,5 times or more,10.0,10.0,
166,New Dehli ,Female,1.0,1.0,8.0,3 to 4 times,9.0,3 to 4 times,7.0,3 to 4 times,10.0,10.0,
167,Boston,Male,4.0,4.0,8.0,5 times or more,10.0,5 times or more,9.0,5 times or more,10.0,10.0,10.0
168,Boston,Female,2.0,1.0,10.0,3 to 4 times,9.0,1 to 2 times,9.0,5 times or more,8.0,10.0,
169,Boston,Male,4.0,3.0,10.0,3 to 4 times,6.0,1 to 2 times,8.0,3 to 4 times,9.0,10.0,9.0
170,Boston,Male,2.0,2.0,9.0,5 times or more,10.0,1 to 2 times,9.0,5 times or more,10.0,10.0,
171,Boston,Female,2.0,1.0,9.0,5 times or more,8.0,1 to 2 times,3.0,5 times or more,10.0,10.0,
172,Boston,Female,3.0,3.0,8.0,3 to 4 times,10.0,3 to 4 times,10.0,1 to 2 times,9.0,,
173,Boston,Female,3.0,4.0,,3 to 4 times,,3 to 4 times,8.0,5 times or more,10.0,9.0,
174,Boston,Female,1.0,1.0,10.0,5 times or more,9.0,5 times or more,10.0,3 to 4 times,10.0,10.0,10.0
175,Boston,Female,3.0,3.0,7.0,5 times or more,8.0,5 times or more,8.0,5 times or more,8.0,10.0,4.0
176,Boston,Female,1.0,1.0,6.0,3 to 4 times,8.0,3 to 4 times,8.0,3 to 4 times,9.0,8.0,8.0
177,Amsterdam,Male,4.0,5.0,10.0,5 times or more,10.0,5 times or more,10.0,5 times or more,10.0,10.0,
178,Boston,Male,3.0,3.0,9.0,3 to 4 times,10.0,1 to 2 times,10.0,1 to 2 times,9.0,10.0,
179,Amsterdam,Male,2.0,3.0,10.0,3 to 4 times,10.0,5 times or more,8.0,5 times or more,10.0,10.0,8.0
180,Boston,Female,2.0,4.0,8.0,1 to 2 times,10.0,3 to 4 times,10.0,3 to 4 times,10.0,,9.0
181,Boston,Female,2.0,3.0,8.0,1 to 2 times,10.0,1 to 2 times,9.0,1 to 2 times,10.0,10.0,
182,Boston,Female,2.0,3.0,6.0,1 to 2 times,6.0,1 to 2 times,8.0,3 to 4 times,7.0,6.0,6.0
