ID,location,gender,age_category,seniority_category,satisfaction_score,#contact_acct,rating_acct,#contact_HR,rating_HR,#contact_OM,rating_OM,rating_security,rating_D&R
141,Amsterdam,Female,2.0,3.0,4.0,5 times or more,3.0,5 times or more,3.0,5 times or more,8.0,9.0,
142,Amsterdam,Female,4.0,1.0,8.0,5 times or more,8.0,3 to 4 times,7.0,3 to 4 times,9.0,9.0,
143,Boston,Female,3.0,4.0,8.0,3 to 4 times,6.0,3 to 4 times,9.0,5 times or more,9.0,10.0,
144,Amsterdam,Female,2.0,2.0,7.0,5 times or more,5.0,1 to 2 times,8.0,3 to 4 times,7.0,10.0,
145,Boston,Male,2.0,2.0,6.0,1 to 2 times,7.0,1 to 2 times,4.0,3 to 4 times,9.0,7.0,
146,Boston,Female,2.0,2.0,9.0,3 to 4 times,5.0,3 to 4 times,7.0,5 times or more,10.0,10.0,7.0
147,Amsterdam,Female,2.0,3.0,5.0,5 times or more,1.0,5 times or more,8.0,3 to 4 times,9.0,8.0,
148,Amsterdam,Male,2.0,2.0,3.0,5 times or more,5.0,5 times or more,3.0,5 times or more,8.0,8.0,
149,Amsterdam,Female,2.0,1.0,7.0,5 times or more,6.0,5 times or more,6.0,5 times or more,10.0,10.0,
150,Boston,Female,2.0,1.0,5.0,5 times or more,4.0,5 times or more,8.0,5 times or more,8.0,9.0,
151,Boston,Female,2.0,3.0,7.0,3 to 4 times,8.0,5 times or more,8.0,5 times or more,10.0,8.0,10.0
152,Boston,Female,2.0,4.0,7.0,1 to 2 times,4.0,0 times,8.0,5 times or more,7.0,7.0,8.0
153,Amsterdam,Male,4.0,4.0,8.0,0 times,,3 to 4 times,10.0,0 times,9.0,10.0,
154,Amsterdam,Male,1.0,2.0,4.0,3 to 4 times,5.0,3 to 4 times,4.0,3 to 4 times,6.0,9.0,
155,Boston,Male,3.0,3.0,5.0,5 times or more,4.0,3 to 4 times,8.0,5 times or more,8.0,7.0,8.0
156,Boston,Female,1.0,2.0,5.0,3 to 4 times,4.0,5 times or more,8.0,3 to 4 times,10.0,10.0,
